Movie Name,Genre,Ratings,Voting Counts,Duration
Kraven the Hunter,Action,5.5, 52K,2h 7m
Gladiator II,Action,6.5, 225K,2h 28m
Twisters,Action,6.5, 165K,2h 2m
Sonic the Hedgehog 3,Action,6.9, 57K,1h 50m
Venom: The Last Dance,Action,6.0, 114K,1h 50m
Deadpool & Wolverine,Action,7.6, 487K,2h 8m
Pushpa: The Rule - Part 2,Action,6.1, 55K,3h 21m
Dune: Part Two,Action,8.5, 621K,2h 46m
The Ministry of Ungentlemanly Warfare,Action,6.8, 134K,2h 2m
Freaky Tales,Action,7.2, 867,1h 46m
The Beekeeper,Action,6.3, 155K,1h 45m
Carry-On,Action,6.5, 163K,1h 59m
Furiosa: A Mad Max Saga,Action,7.5, 283K,2h 28m
Civil War,Action,7.0, 235K,1h 49m
Fight or Flight,Action,6.4, 6K,1h 37m
Solo Leveling: ReAwakening,Action,8.9, 11K,2h 1m
Borderlands,Action,4.7, 47K,1h 41m
Elevation,Action,5.6, 21K,1h 31m
The Fall Guy,Action,6.8, 219K,2h 6m
The Count of Monte-Cristo,Action,7.6, 33K,2h 58m
Transformers One,Action,7.6, 49K,1h 44m
Hellboy: The Crooked Man,Action,4.5, 13K,1h 39m
The Lord of the Rings: The War of the Rohirrim,Action,6.3, 30K,2h 14m
The Crow,Action,4.7, 34K,1h 51m
William Tell,Action,5.7, 2.3K,2h 13m
Madame Web,Action,4.0, 100K,1h 56m
Rebel Ridge,Action,6.8, 87K,2h 11m
Road House,Action,6.2, 167K,2h 1m
Bad Boys: Ride or Die,Action,6.5, 99K,1h 55m
Kingdom of the Planet of the Apes,Action,6.9, 151K,2h 25m
Godzilla x Kong: The New Empire,Action,6.0, 121K,1h 55m
Argylle,Action,5.6, 92K,2h 19m
Marco,Action,6.8, 21K,2h 25m
Damsel,Action,6.1, 109K,1h 50m
Red One,Action,6.3, 139K,2h 3m
Homestead,Action,5.3, 3.5K,1h 52m
Love Lies Bleeding,Action,6.6, 56K,1h 44m
The Killer's Game,Action,5.8, 17K,1h 44m
Land of Bad,Action,6.6, 51K,1h 53m
Monkey Man,Action,6.8, 91K,2h 1m
Uglies,Action,4.7, 32K,1h 40m
Old Guy,Action,5.2, 2.2K,1h 34m
Dirty Angels,Action,4.3, 3.3K,1h 44m
Blitz,Action,6.2, 16K,2h
The Union,Action,5.4, 53K,1h 47m
Kung Fu Panda 4,Action,6.3, 67K,1h 34m
Toofan,Action,7.4, 7.6K,2h 25m
Thelma,Action,7.0, 22K,1h 38m
Arcadian,Action,5.5, 23K,1h 32m
Attack on Titan the Movie: The Last Attack,Action,9.2, 15K,2h 25m
Gunner,Action,3.2, 2.5K,1h 46m
Lift,Action,5.5, 49K,1h 47m
Werewolves,Action,4.4, 6.4K,1h 33m
The Killer,Action,5.7, 13K,2h 6m
Aftermath,Action,5.1, 3.8K,1h 37m
Beverly Hills Cop: Axel F,Action,6.4, 81K,1h 58m
Maharaja,Action,8.4, 66K,2h 21m
Survive,Action,4.6, 2.3K,1h 30m
The Instigators,Action,6.2, 37K,1h 41m
Twilight of the Warriors: Walled In,Action,7.0, 9.3K,2h 6m
Drive-Away Dolls,Action,5.4, 23K,1h 24m
Absolution,Action,5.2, 7.7K,1h 52m
Apocalypse Z: The Beginning of the End,Action,6.1, 20K,1h 57m
Azrael,Action,5.4, 10K,1h 26m
Classified,Action,3.6, 2.4K,1h 45m
Atlas,Action,5.6, 56K,1h 58m
The Prosecutor,Action,6.7, 1.7K,1h 57m
Rebel Moon - Part Two: The Scargiver,Action,5.3, 59K,2h 2m
Descendants: The Rise of Red,Action,4.7, 7K,1h 31m
Kalki 2898-AD,Action,7.0, 66K,3h
Long Gone Heroes,Action,5.2, 1K,1h 41m
Brothers,Action,5.4, 13K,1h 29m
Canary Black,Action,5.3, 11K,1h 41m
Under Paris,Action,5.2, 36K,1h 44m
