Movie Name,Genre,Ratings,Voting Counts,Duration
Mufasa: The Lion King,Adventure,6.6, 59K,1h 58m
Moana 2,Adventure,6.6, 98K,1h 40m
Kraven the Hunter,Adventure,5.5, 52K,2h 7m
Flow,Adventure,7.9, 70K,1h 25m
Gladiator II,Adventure,6.5, 225K,2h 28m
Twisters,Adventure,6.5, 165K,2h 2m
Sonic the Hedgehog 3,Adventure,6.9, 57K,1h 50m
Venom: The Last Dance,Adventure,6.0, 114K,1h 50m
Deadpool & Wolverine,Adventure,7.6, 487K,2h 8m
Dune: Part Two,Adventure,8.5, 621K,2h 46m
Freaky Tales,Adventure,7.2, 867,1h 46m
The Day the Earth Blew Up: A Looney Tunes Movie,Adventure,7.0, 3.7K,1h 31m
Furiosa: A Mad Max Saga,Adventure,7.5, 283K,2h 28m
Solo Leveling: ReAwakening,Adventure,8.9, 11K,2h 1m
Borderlands,Adventure,4.7, 47K,1h 41m
Paddington in Peru,Adventure,6.7, 19K,1h 46m
The Count of Monte-Cristo,Adventure,7.6, 33K,2h 58m
Despicable Me 4,Adventure,6.2, 64K,1h 34m
Transformers One,Adventure,7.6, 49K,1h 44m
The Lord of the Rings: The War of the Rohirrim,Adventure,6.3, 30K,2h 14m
Inside Out 2,Adventure,7.5, 215K,1h 36m
The Return,Adventure,6.2, 8K,1h 56m
Madame Web,Adventure,4.0, 100K,1h 56m
Bad Boys: Ride or Die,Adventure,6.5, 99K,1h 55m
Kingdom of the Planet of the Apes,Adventure,6.9, 151K,2h 25m
Godzilla x Kong: The New Empire,Adventure,6.0, 121K,1h 55m
Ghostbusters: Frozen Empire,Adventure,6.1, 93K,1h 55m
Damsel,Adventure,6.1, 109K,1h 50m
Red One,Adventure,6.3, 139K,2h 3m
Love Lies Bleeding,Adventure,6.6, 56K,1h 44m
Spaceman,Adventure,5.7, 43K,1h 47m
Uglies,Adventure,4.7, 32K,1h 40m
Kung Fu Panda 4,Adventure,6.3, 67K,1h 34m
Attack on Titan the Movie: The Last Attack,Adventure,9.2, 15K,2h 25m
Survive,Adventure,4.6, 2.3K,1h 30m
The Garfield Movie,Adventure,5.7, 24K,1h 41m
Spellbound,Adventure,5.6, 7.2K,1h 49m
Harold and the Purple Crayon,Adventure,5.7, 8.2K,1h 30m
Wallace & Gromit: Vengeance Most Fowl,Adventure,7.5, 34K,1h 22m
Night of the Zoopocalypse,Adventure,6.2, 514,1h 31m
Atlas,Adventure,5.6, 56K,1h 58m
Rebel Moon - Part Two: The Scargiver,Adventure,5.3, 59K,2h 2m
Descendants: The Rise of Red,Adventure,4.7, 7K,1h 31m
Kalki 2898-AD,Adventure,7.0, 66K,3h
Arthur the King,Adventure,7.0, 34K,1h 47m
The Unholy Trinity,Adventure,7.9, 49,1h 33m
Monster Summer,Adventure,5.7, 3.6K,1h 37m
My Penguin Friend,Adventure,6.7, 4.9K,1h 37m
Winner,Adventure,6.5, 2.4K,1h 43m
Hitpig,Adventure,5.1, 909,1h 26m
Thelma the Unicorn,Adventure,5.7, 2.9K,1h 33m
No Way Up,Adventure,4.6, 10K,1h 30m
Megamind vs. The Doom Syndicate,Adventure,2.5, 5.5K,1h 23m
The Goat Life,Adventure,7.1, 47K,2h 53m
Family Pack,Adventure,5.5, 8.9K,1h 34m
River of Blood,Adventure,5.3, 1.7K,1h 26m
The Best Christmas Pageant Ever,Adventure,6.8, 6.1K,1h 39m
The Wages of Fear,Adventure,4.6, 4.1K,1h 44m
Orion and the Dark,Adventure,6.3, 17K,1h 33m
Dongeng Sang Kancil,Adventure,6.8, 157,1h 39m
Devil's Knight,Adventure,5.4, 820,1h 30m
Sasquatch Sunset,Adventure,5.4, 5.4K,1h 28m
Overlord: The Sacred Kingdom,Adventure,6.9, 891,2h 15m
Lost on a Mountain in Maine,Adventure,6.1, 1.2K,1h 38m
Justice League: Crisis on Infinite Earths - Part One,Adventure,6.2, 8.4K,1h 33m
Justice League: Crisis on Infinite Earths - Part Three,Adventure,6.1, 4.5K,1h 34m
Bookworm,Adventure,6.0, 1.8K,1h 43m
Anaconda,Adventure,4.8, 625,1h 24m
Chuck Billy and the Marvelous Guava Tree,Adventure,7.5, 922,1h 30m
Something in the Water,Adventure,4.1, 4.6K,1h 26m
Hanu Man,Adventure,7.7, 29K,2h 38m
Buffalo Kids,Adventure,6.6, 670,1h 33m
"I, the Executioner",Adventure,6.3, 1.7K,1h 58m
Saving Bikini Bottom: The Sandy Cheeks Movie,Adventure,3.7, 3.8K,1h 22m
The Price of Money: A Largo Winch Adventure,Adventure,5.0, 1.1K,1h 40m
Badland Hunters,Adventure,5.9, 12K,1h 47m
The Empire,Adventure,5.2, 1.2K,1h 50m
Ultraman: Rising,Adventure,6.9, 6.3K,1h 57m
The Courier,Adventure,6.0, 4.4K,1h 41m
Autumn and the Black Jaguar,Adventure,5.6, 990,1h 40m
A Legend,Adventure,4.7, 886,2h 9m
My Hero Academia: You're Next,Adventure,7.0, 2K,1h 50m
That Christmas,Adventure,6.8, 17K,1h 31m
Manjummel Boys,Adventure,8.2, 27K,2h 15m
Saint-Exupéry,Adventure,5.6, 254,1h 38m
200% Wolf,Adventure,5.9, 1.3K,1h 38m
Operation Blood Hunt,Adventure,3.4, 477,1h 33m
Woody Woodpecker Goes to Camp,Adventure,4.5, 2.6K,1h 40m
The Tiger's Apprentice,Adventure,5.7, 2.2K,1h 24m
Cult Killer,Adventure,4.8, 2.8K,1h 45m
Raqa,Adventure,5.7, 177,1h 47m
Justice League: Crisis on Infinite Earths - Part Two,Adventure,5.5, 5.3K,1h 34m
Sixty Minutes,Adventure,5.7, 5.2K,1h 28m
Golden Kamuy,Adventure,6.3, 2.6K,2h 7m
One Million Babes BC,Adventure,2.2, 78,1h 15m
Doraemon the Movie: Nobita's Earth Symphony,Adventure,6.6, 1.5K,1h 55m
"Bambi, l'histoire d'une vie dans les bois",Adventure,5.7, 162,1h 18m
Angels Fallen: Warriors of Peace,Adventure,4.9, 5.8K,1h 43m
The Twisters,Adventure,2.6, 329,1h 26m
Dragonkeeper,Adventure,5.7, 1.6K,1h 38m
Unspeakable: Beyond the Wall of Sleep,Adventure,6.2, 47,1h 30m
Crayon Shin-chan: Ora's Dinosaur Diary,Adventure,6.4, 337,1h 46m
Lumina,Adventure,2.1, 661,1h 53m
The Firing Squad,Adventure,5.4, 5K,1h 33m
Eat the Night,Adventure,6.1, 464,1h 46m
Bade Miyan Chote Miyan,Adventure,3.7, 39K,2h 43m
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,Adventure,7.1, 8.4K,1h 44m
The Last Redemption,Adventure,6.7, 3.4K,2h 2m
Roadkill,Adventure,3.7, 678,1h 30m
WWII: Operation Phoenix,Adventure,6.3, 73,1h 46m
Escape,Adventure,6.4, 2K,1h 34m
No Time to Spy: A Loud House Movie,Adventure,6.4, 443,1h 21m
War of the Worlds: Extinction,Adventure,3.1, 202,1h 24m
The Sloth Lane,Adventure,5.6, 203,1h 30m
