Movie Name,Genre,Ratings,Voting Counts,Duration
Anora,Comedy,7.5, 175K,2h 19m
Moana 2,Comedy,6.6, 98K,1h 40m
A Real Pain,Comedy,7.1, 85K,1h 30m
Sonic the Hedgehog 3,Comedy,6.9, 57K,1h 50m
Y2K,Comedy,4.8, 13K,1h 31m
Deadpool & Wolverine,Comedy,7.6, 487K,2h 8m
The Ministry of Ungentlemanly Warfare,Comedy,6.8, 134K,2h 2m
Freaky Tales,Comedy,7.2, 867,1h 46m
The Day the Earth Blew Up: A Looney Tunes Movie,Comedy,7.0, 3.7K,1h 31m
Riff Raff,Comedy,5.7, 2.7K,1h 43m
Fight or Flight,Comedy,6.4, 6K,1h 37m
Emilia Pérez,Comedy,5.4, 87K,2h 12m
Borderlands,Comedy,4.7, 47K,1h 41m
Paddington in Peru,Comedy,6.7, 19K,1h 46m
Sacramento,Comedy,5.7, 550,1h 29m
The Fall Guy,Comedy,6.8, 219K,2h 6m
Saturday Night,Comedy,6.9, 30K,1h 49m
Beetlejuice Beetlejuice,Comedy,6.7, 146K,1h 45m
Despicable Me 4,Comedy,6.2, 64K,1h 34m
Challengers,Comedy,7.0, 154K,2h 11m
Inside Out 2,Comedy,7.5, 215K,1h 36m
Kinds of Kindness,Comedy,6.5, 59K,2h 44m
A Different Man,Comedy,6.9, 28K,1h 52m
Bad Boys: Ride or Die,Comedy,6.5, 99K,1h 55m
The Idea of You,Comedy,6.3, 73K,1h 55m
My Old Ass,Comedy,6.9, 39K,1h 29m
Argylle,Comedy,5.6, 92K,2h 19m
It's What's Inside,Comedy,6.6, 42K,1h 43m
Dead Talents Society,Comedy,7.0, 1.7K,1h 51m
IF,Comedy,6.4, 58K,1h 44m
A Nice Indian Boy,Comedy,8.0, 340,1h 36m
Ricky Stanicky,Comedy,6.2, 56K,1h 53m
Ghostbusters: Frozen Empire,Comedy,6.1, 93K,1h 55m
Red One,Comedy,6.3, 139K,2h 3m
Fly Me to the Moon,Comedy,6.6, 49K,2h 12m
Friendship,Comedy,7.4, 259,1h 40m
Nightbitch,Comedy,5.6, 19K,1h 39m
Bob Trevino Likes It,Comedy,8.0, 711,1h 41m
The Killer's Game,Comedy,5.8, 17K,1h 44m
Snack Shack,Comedy,7.0, 12K,1h 52m
My Dead Friend Zoe,Comedy,6.6, 2.1K,1h 43m
Old Guy,Comedy,5.2, 2.2K,1h 34m
Kneecap,Comedy,7.6, 17K,1h 45m
F*** Marry Kill,Comedy,5.3, 2.3K,1h 37m
Miller's Girl,Comedy,5.2, 23K,1h 33m
The Union,Comedy,5.4, 53K,1h 47m
Kung Fu Panda 4,Comedy,6.3, 67K,1h 34m
Chosen Family,Comedy,4.7, 365,1h 28m
Mean Girls,Comedy,5.5, 37K,1h 52m
Thelma,Comedy,7.0, 22K,1h 38m
A Family Affair,Comedy,5.4, 36K,1h 51m
Misericordia,Comedy,6.9, 1.9K,1h 44m
Spermageddon,Comedy,5.8, 759,1h 20m
Lift,Comedy,5.5, 49K,1h 47m
Upgraded,Comedy,6.1, 29K,1h 44m
Holy Cow,Comedy,7.1, 1.4K,1h 32m
Beverly Hills Cop: Axel F,Comedy,6.4, 81K,1h 58m
The Instigators,Comedy,6.2, 37K,1h 41m
Distant,Comedy,5.7, 3.1K,1h 27m
The Garfield Movie,Comedy,5.7, 24K,1h 41m
The Marching Band,Comedy,7.4, 2.6K,1h 43m
Mittran Da Challeya Truck Ni,Comedy,8.1, 872,2h 11m
Spellbound,Comedy,5.6, 7.2K,1h 49m
Incoming,Comedy,5.8, 14K,1h 31m
Drive-Away Dolls,Comedy,5.4, 23K,1h 24m
Harold and the Purple Crayon,Comedy,5.7, 8.2K,1h 30m
Eephus,Comedy,7.2, 464,1h 39m
Greedy People,Comedy,6.2, 11K,1h 52m
Get Away,Comedy,5.3, 6.6K,1h 26m
Wallace & Gromit: Vengeance Most Fowl,Comedy,7.5, 34K,1h 22m
Sister Midnight,Comedy,6.6, 366,1h 47m
Hard Truths,Comedy,7.3, 5.1K,1h 37m
Night of the Zoopocalypse,Comedy,6.2, 514,1h 31m
The Shallow Tale of a Writer Who Decided to Write About a Serial Killer,Comedy,8.6, 94,1h 42m
Goodrich,Comedy,6.3, 5.1K,1h 50m
Rumours,Comedy,5.0, 4.5K,1h 44m
Brothers,Comedy,5.4, 13K,1h 29m
Your Monster,Comedy,6.4, 5.7K,1h 43m
The Mouse Trap,Comedy,2.4, 3.2K,1h 20m
Superboys of Malegaon,Comedy,8.0, 1.4K,2h 7m
How to Make Millions Before Grandma Dies,Comedy,8.0, 13K,2h 5m
Teri Baaton Mein Aisa Uljha Jiya,Comedy,6.2, 54K,2h 21m
Bloody Axe Wound,Comedy,4.9, 794,1h 23m
Ghostlight,Comedy,7.6, 5.8K,1h 55m
Lisa Frankenstein,Comedy,6.1, 28K,1h 41m
Stree 2,Comedy,6.9, 42K,2h 27m
Jackpot!,Comedy,5.8, 30K,1h 46m
Unfrosted,Comedy,5.5, 35K,1h 37m
Modi: Three Days on the Wing of Madness,Comedy,5.6, 508,1h 50m
When Autumn Falls,Comedy,6.8, 1.5K,1h 44m
The 4:30 Movie,Comedy,6.0, 3.7K,1h 27m
Winner,Comedy,6.5, 2.4K,1h 43m
Didi,Comedy,7.3, 12K,1h 33m
The Visitor,Comedy,4.4, 205,1h 41m
Mother of the Bride,Comedy,4.8, 17K,1h 28m
Piece by Piece,Comedy,6.9, 5.3K,1h 33m
Sketch,Comedy,8.4, 47,1h 32m
The Uninvited,Comedy,5.9, 156,1h 37m
Four Mothers,Comedy,7.3, 167,1h 29m
Manamey,Comedy,5.4, 664,2h 35m
Sex-Positive,Comedy,4.0, 728,1h 25m
Babes,Comedy,6.3, 6.3K,1h 44m
Our Little Secret,Comedy,5.7, 23K,1h 41m
Hitpig,Comedy,5.1, 909,1h 26m
Dear Santa,Comedy,5.4, 18K,1h 47m
Thelma the Unicorn,Comedy,5.7, 2.9K,1h 33m
Skincare,Comedy,5.7, 4.4K,1h 36m
Time Travel Is Dangerous,Comedy,6.7, 145,1h 39m
Aavesham,Comedy,7.8, 28K,2h 35m
Sweethearts,Comedy,5.5, 3.8K,1h 38m
Turn Me On,Comedy,5.6, 508,1h 39m
The Wonderful Story of Henry Sugar and Three More,Comedy,7.1, 6.5K,1h 28m
Standing on the Shoulders of Kitties,Comedy,6.2, 539,1h 51m
A través de tu mirada,Comedy,5.4, 5.2K,1h 45m
Gelin Takimi,Comedy,3.2, 2.5K,1h 49m
Lost & Found in Cleveland,Comedy,8.5, 31,PG-13
Irish Wish,Comedy,5.2, 21K,1h 33m
Megamind vs. The Doom Syndicate,Comedy,2.5, 5.5K,1h 23m
Find Me Falling,Comedy,6.3, 13K,1h 33m
Family Pack,Comedy,5.5, 8.9K,1h 34m
