Movie Name,Genre,Ratings,Voting Counts,Duration
Trap,Crime,5.8, 136K,1h 45m
Pushpa: The Rule - Part 2,Crime,6.1, 55K,3h 21m
Longlegs,Crime,6.6, 183K,1h 41m
Freaky Tales,Crime,7.2, 867,1h 46m
Juror #2,Crime,7.0, 95K,1h 54m
The Beekeeper,Crime,6.3, 155K,1h 45m
Carry-On,Crime,6.5, 163K,1h 59m
Riff Raff,Crime,5.7, 2.7K,1h 43m
The Order,Crime,6.8, 40K,1h 56m
Emilia Pérez,Crime,5.4, 87K,2h 12m
MaXXXine,Crime,6.3, 69K,1h 43m
Despicable Me 4,Crime,6.2, 64K,1h 34m
Wolfs,Crime,6.5, 81K,1h 48m
The Crow,Crime,4.7, 34K,1h 51m
Rebel Ridge,Crime,6.8, 87K,2h 11m
Lucky Baskhar,Crime,8.0, 31K,2h 28m
Bad Boys: Ride or Die,Crime,6.5, 99K,1h 55m
Marco,Crime,6.8, 21K,2h 25m
Love Lies Bleeding,Crime,6.6, 56K,1h 44m
The Girl with the Needle,Crime,7.5, 13K,2h 3m
Monkey Man,Crime,6.8, 91K,2h 1m
The Seed of the Sacred Fig,Crime,7.6, 13K,2h 47m
Santosh,Crime,7.0, 1.8K,2h 8m
Toofan,Crime,7.4, 7.6K,2h 25m
Misericordia,Crime,6.9, 1.9K,1h 44m
Sleeping Dogs,Crime,6.2, 21K,1h 50m
Lift,Crime,5.5, 49K,1h 47m
Beverly Hills Cop: Axel F,Crime,6.4, 81K,1h 58m
Maharaja,Crime,8.4, 66K,2h 21m
The Instigators,Crime,6.2, 37K,1h 41m
Beating Hearts,Crime,7.0, 4.5K,2h 46m
Twilight of the Warriors: Walled In,Crime,7.0, 9.3K,2h 6m
Greedy People,Crime,6.2, 11K,1h 52m
Absolution,Crime,5.2, 7.7K,1h 52m
Killer Heat,Crime,5.6, 13K,1h 35m
Long Gone Heroes,Crime,5.2, 1K,1h 41m
Brothers,Crime,5.4, 13K,1h 29m
The Unholy Trinity,Crime,7.9, 49,1h 33m
Force of Nature: The Dry 2,Crime,5.8, 7K,2h
Trigger Warning,Crime,4.6, 19K,1h 46m
Armor,Crime,3.6, 3.8K,1h 29m
The Shadow Strays,Crime,6.5, 9.1K,2h 24m
The Silent Hour,Crime,6.1, 7.3K,1h 39m
Duchess,Crime,4.6, 1.3K,1h 54m
Do Patti,Crime,6.5, 68K,2h 6m
Boneyard,Crime,4.1, 5K,1h 36m
Hitpig,Crime,5.1, 909,1h 26m
Harbin,Crime,6.4, 567,1h 48m
Mea Culpa,Crime,4.2, 7K,2h
The Thicket,Crime,5.8, 3K,1h 48m
The Calendar Killer,Crime,5.4, 4.1K,1h 37m
Lake George,Crime,6.4, 951,1h 58m
Baby John,Crime,5.3, 17K,2h 39m
Megamind vs. The Doom Syndicate,Crime,2.5, 5.5K,1h 23m
Sikandar ka Muqaddar,Crime,6.0, 24K,2h 22m
Viduthalai Part 2,Crime,7.9, 16K,2h 50m
Damaged,Crime,4.7, 7.2K,1h 37m
Dead Sea,Crime,5.3, 5.3K,1h 28m
Blackwater Lane,Crime,4.6, 1.8K,1h 48m
Sector 36,Crime,7.1, 25K,2h 3m
In Youth We Trust,Crime,6.8, 368,2h 12m
The Quiet Ones,Crime,6.4, 658,1h 50m
Reputation,Crime,9.3, 8,1h 23m
Justice,Crime,6.3, 3.8K,1h 53m
Trouble,Crime,6.2, 6.7K,1h 38m
Dead Wrong,Crime,3.9, 257,1h 44m
Depravity,Crime,4.3, 973,1h 57m
Singham Again,Crime,4.8, 75K,2h 24m
Bangkok Dog,Crime,4.9, 155,1h 25m
The Thundermans Return,Crime,5.0, 1.8K,1h 10m
The Shameless,Crime,5.7, 214,1h 54m
Colors of Evil: Red,Crime,6.4, 8.4K,1h 51m
The Roundup: Punishment,Crime,6.6, 5.2K,1h 49m
Detained,Crime,4.9, 1.5K,1h 37m
Thalavan,Crime,7.2, 4.6K,2h 11m
Jönssonligan kommer tillbaka,Crime,5.9, 1.3K,1h 44m
Jigra,Crime,6.0, 23K,2h 33m
Strictly Confidential,Crime,2.8, 840,1h 34m
Maharaj,Crime,6.5, 15K,2h 11m
Golam,Crime,7.2, 5.6K,2h
"I, the Executioner",Crime,6.3, 1.7K,1h 58m
Badland Hunters,Crime,5.9, 12K,1h 47m
The Clean Up Crew,Crime,4.1, 1.1K,1h 35m
Bougainvillea,Crime,6.4, 3.1K,2h 18m
Officer Black Belt,Crime,6.8, 8.1K,1h 48m
Code 8: Part II,Crime,5.7, 16K,1h 40m
