Movie Name,Genre,Ratings,Voting Counts,Duration
Heretic,Thriller,7.0, 132K,1h 51m
Kraven the Hunter,Thriller,5.5, 52K,2h 7m
Conclave,Thriller,7.4, 143K,2h
Twisters,Thriller,6.5, 165K,2h 2m
Babygirl,Thriller,5.9, 51K,1h 54m
The Rule of Jenny Pen,Thriller,6.3, 2.9K,1h 44m
Trap,Thriller,5.8, 136K,1h 45m
Bring Them Down,Thriller,6.5, 2.4K,1h 46m
Eden,Thriller,6.5, 1K,2h
Venom: The Last Dance,Thriller,6.0, 114K,1h 50m
Pushpa: The Rule - Part 2,Thriller,6.1, 55K,3h 21m
Longlegs,Thriller,6.6, 183K,1h 41m
Juror #2,Thriller,7.0, 95K,1h 54m
The Beekeeper,Thriller,6.3, 155K,1h 45m
The Luckiest Man in America,Thriller,6.7, 374,1h 31m
Carry-On,Thriller,6.5, 163K,1h 59m
Presence,Thriller,6.1, 20K,1h 24m
Speak No Evil,Thriller,6.8, 96K,1h 50m
Furiosa: A Mad Max Saga,Thriller,7.5, 283K,2h 28m
Civil War,Thriller,7.0, 235K,1h 49m
Smile 2,Thriller,6.7, 101K,2h 7m
The Order,Thriller,6.8, 40K,1h 56m
Alien: Romulus,Thriller,7.1, 242K,1h 59m
Blink Twice,Thriller,6.5, 104K,1h 42m
Emilia Pérez,Thriller,5.4, 87K,2h 12m
Borderlands,Thriller,4.7, 47K,1h 41m
Elevation,Thriller,5.6, 21K,1h 31m
September 5,Thriller,7.1, 22K,1h 35m
The Count of Monte-Cristo,Thriller,7.6, 33K,2h 58m
Ask Me What You Want,Thriller,3.7, 570,1h 54m
Subservience,Thriller,5.4, 27K,1h 46m
Oddity,Thriller,6.7, 42K,1h 38m
Abigail,Thriller,6.6, 96K,1h 49m
Joker: Folie à Deux,Thriller,5.2, 159K,2h 18m
Hellboy: The Crooked Man,Thriller,4.5, 13K,1h 39m
Wolfs,Thriller,6.5, 81K,1h 48m
A Quiet Place: Day One,Thriller,6.3, 148K,1h 39m
The Crow,Thriller,4.7, 34K,1h 51m
Madame Web,Thriller,4.0, 100K,1h 56m
Rebel Ridge,Thriller,6.8, 87K,2h 11m
Road House,Thriller,6.2, 167K,2h 1m
Lucky Baskhar,Thriller,8.0, 31K,2h 28m
A Different Man,Thriller,6.9, 28K,1h 52m
Never Let Go,Thriller,5.4, 15K,1h 41m
Bad Boys: Ride or Die,Thriller,6.5, 99K,1h 55m
Immaculate,Thriller,5.8, 52K,1h 29m
Kingdom of the Planet of the Apes,Thriller,6.9, 151K,2h 25m
Godzilla x Kong: The New Empire,Thriller,6.0, 121K,1h 55m
Argylle,Thriller,5.6, 92K,2h 19m
It's What's Inside,Thriller,6.6, 42K,1h 43m
